dst,dst_ip,num_ports,num_connections,num_syn,num_rst
174351472,10.100.100.112,522,4954,711,26
2886740105,172.16.40.137,1152,23622,21528,25
2886742731,172.16.50.203,134,1594,594,25
2886734849,172.16.20.1,1000,23883,23835,24
168850338,10.16.115.162,15017,306083,20414,24
3232292874,192.168.224.10,5,15048,186,24
391087385,23.79.133.25,1,328,12,24
2886742529,172.16.50.1,1000,21130,21084,23
168430189,10.10.10.109,238,1437,637,23
171061870,10.50.50.110,100,2725,600,23
2886745089,172.16.60.1,1000,21424,21375,22
169088110,10.20.20.110,1002,6657,4201,22
171061864,10.50.50.104,320,5491,600,22
171061780,10.50.50.20,122,908,295,22
916780562,54.164.246.18,1,355,23,22
2886750345,172.16.80.137,1158,23944,21799,21
2886739969,172.16.40.1,1000,21516,21474,21
2886737409,172.16.30.1,1002,9243,9182,21
174981343,10.110.0.223,686,127597,381,21
3627735745,216.58.218.193,3,1107,61,21
1611768601,96.17.163.25,1,777,55,21
169746029,10.30.30.109,104,2407,400,20
170404040,10.40.40.200,102,427,289,20
520962561,31.13.66.1,2,1851,16,20
3223256206,192.30.252.142,1,76,3,20
2886750209,172.16.80.1,1000,19597,19558,19
168430190,10.10.10.110,196,71721,336,19
872810675,52.6.8.179,1,503,26,19
3280461189,195.135.221.133,2,217,9,19
170403860,10.40.40.20,720,467463,985,18
169746028,10.30.30.108,104,2409,383,18
3325716552,198.58.104.72,1,517,18,18
1600504667,95.101.195.91,2,195,13,18
1746665732,104.28.1.4,1,81,4,17
169088005,10.20.20.5,1519,6315,2410,16
3232248418,192.168.50.98,503,27926,455,16
169746025,10.30.30.105,101,205,131,16
170403945,10.40.40.105,109,352,129,16
172377605,10.70.70.5,1911,4700,1366,15
1249764264,74.125.227.168,2,2853,670,15
3232299821,192.168.251.45,227,3719,75,15
3494213687,208.69.120.55,1,941,52,15
172377851,10.70.70.251,997,2871,1440,14
169746171,10.30.30.251,102,1803,445,14
169746030,10.30.30.110,135,54817,276,14
3627735746,216.58.218.194,4,2051,96,14
391088476,23.79.137.92,2,161,14,14
391089305,23.79.140.153,1,4314,8,14
171719785,10.60.60.105,266,8182,1220,13
1249764257,74.125.227.161,2,1741,514,13
173693460,10.90.90.20,438,401969,481,13
169745925,10.30.30.5,579,1510,235,13
172377704,10.70.70.104,65,248381,77,13
1209359225,72.21.91.121,2,476,37,13
3090405636,184.51.217.4,1,79,6,13
170403946,10.40.40.106,214,179979,280,12
3495972805,208.96.79.197,1,8829,182,12
183500824,10.240.0.24,23,3839,22,12
1796675201,107.23.22.129,1,244,18,12
3244873538,193.104.215.66,2,126,14,12
2953439379,176.9.232.147,1,62,4,12
168430188,10.10.10.108,265,4626,871,11
171719786,10.60.60.106,718,846,728,11
170403845,10.40.40.5,746,4511,359,11
872471223,52.0.218.183,1,240,16,11
911742277,54.88.21.69,1,293,15,11
1209359215,72.21.91.111,2,148,8,11
