dst,dst_ip,num_ports,num_connections,num_sources,num_icmp,num_tcp,num_udp
168450789,10.10.90.229,175,361,1,12,349,0
168450790,10.10.90.230,175,354,1,12,342,0
168450791,10.10.90.231,175,352,1,12,340,0
168450792,10.10.90.232,175,353,1,12,341,0
168450793,10.10.90.233,175,354,1,12,342,0
168450794,10.10.90.234,175,351,1,11,340,0
168450795,10.10.90.235,175,351,1,12,339,0
168450796,10.10.90.236,175,363,1,12,351,0
168450797,10.10.90.237,175,364,1,12,352,0
168450798,10.10.90.238,175,353,1,12,341,0
168450799,10.10.90.239,175,360,1,12,348,0
168450800,10.10.90.240,175,374,1,12,362,0
168450801,10.10.90.241,175,373,1,12,361,0
168450802,10.10.90.242,175,372,1,12,360,0
168450803,10.10.90.243,175,372,1,11,361,0
168450804,10.10.90.244,175,373,1,12,361,0
168450805,10.10.90.245,175,373,1,12,361,0
168450806,10.10.90.246,175,374,1,12,362,0
168450807,10.10.90.247,175,373,1,12,361,0
168450808,10.10.90.248,175,374,1,12,362,0
168450809,10.10.90.249,175,370,1,12,358,0
168450810,10.10.90.250,175,374,1,12,362,0
168450811,10.10.90.251,174,368,1,12,356,0
168450812,10.10.90.252,175,371,1,12,359,0
168450813,10.10.90.253,175,367,1,11,356,0
168450814,10.10.90.254,175,374,1,12,362,0
168450815,10.10.90.255,175,373,1,12,361,0
168458245,10.10.120.5,1,3,1,0,3,0
168820738,10.16.0.2,2643,20562,13,0,20548,14
168850338,10.16.115.162,15017,306083,90,0,306038,45
169083382,10.20.1.246,1,1242,1,0,239,1003
169088000,10.20.20.0,994,2164,5,107,2049,8
169088001,10.20.20.1,1001,24227,9,13,24213,1
169088002,10.20.20.2,989,2168,7,114,2046,8
169088003,10.20.20.3,993,2176,7,114,2054,8
169088004,10.20.20.4,993,2176,7,113,2055,8
169088005,10.20.20.5,1519,6315,174,14,5618,683
169088006,10.20.20.6,990,2168,7,113,2047,8
